pair_id,selected,source_stop_id,source_terminal,destination_stop_id,destination_terminal,source_longitude,source_latitude,destination_longitude,destination_latitude,source_vertex,destination_vertex,source_snap_distance_m,destination_snap_distance_m,straight_line_distance_m,static_fastest_travel_time_minutes,selection_reason,selection_seed
NYC-001,True,904104,227 ST/113 DR,100595,BROADWAY/W 262 ST,-73.730422,40.702111,-73.896593,40.910078,211894,132664,61.41096928087185,19.338483779465697,27010.60239003729,65.58683333600005,ACCEPTED,20260815
NYC-002,True,404144,BROADWAY/W 207 ST,102411,RANDALL AV/OLMSTEAD AV,-73.867768,40.857235,-73.851533,40.818558,137023,138511,31.06876470495221,54.314430044284386,4506.801607228371,14.386833336000002,ACCEPTED,20260815
NYC-003,True,553332,ROOSEVELT AV/61 ST,401732,E 126 ST/2 AV,-73.87293,40.772845,-73.932486,40.803182,198373,190723,187.38906468703522,44.93464062420777,6049.504765309763,15.143166668,ACCEPTED,20260815
NYC-004,True,804129,ROOSEVELT AV/SHEA RD,102411,RANDALL AV/OLMSTEAD AV,-73.843427,40.755302,-73.851533,40.818558,199450,138511,36.282481516750686,54.314430044284386,7055.805316868287,24.165000003999996,ACCEPTED,20260815
NYC-005,True,802137,HUGH GRANT CIRCLE/CROSS BRONX EXPWY SERVICE RD,804267,153 ST/88 AV,-73.860537,40.832766,-73.80397,40.70607,137771,206053,14.993103343098714,51.7226605784675,14853.824054500375,32.69066667200001,ACCEPTED,20260815
NYC-006,True,904104,227 ST/113 DR,401732,E 126 ST/2 AV,-73.730422,40.702111,-73.932486,40.803182,211894,190723,61.41096928087185,44.93464062420777,20418.716957765053,52.154666670999994,ACCEPTED,20260815
NYC-007,True,102411,RANDALL AV/OLMSTEAD AV,303663,MALCOLM X BLVD/DE KALB AV,-73.851533,40.818558,-73.931083,40.693124,138511,144390,54.314430044284386,34.389262859054654,15460.041395256512,51.25583333300001,ACCEPTED,20260815
NYC-008,True,901729,ATLANTIC AV/SNEDIKER AV,303663,MALCOLM X BLVD/DE KALB AV,-73.902839,40.675672,-73.931083,40.693124,145505,144390,55.72224363405075,34.389262859054654,3074.239638732766,13.781333333,ACCEPTED,20260815
NYC-009,True,402611,BROADWAY/ISHAM ST,405514,W 18 ST/10 AV,-73.919806,40.868083,-74.005952,40.744456,189493,190129,31.851203208359657,57.28593591079442,15529.712249580882,30.517666669999986,ACCEPTED,20260815
NYC-010,True,901507,MYRTLE AV /WYCKOFF AV,405514,W 18 ST/10 AV,-73.911282,40.699528,-74.005952,40.744456,144633,190129,22.051168465491145,57.28593591079442,9424.067958896994,41.192166668000006,ACCEPTED,20260815
NYC-011,True,903274,BROADWAY/W 179 ST,901127,METROPOLITAN AV/RENTAR PLAZA,-73.937142,40.848876,-73.889884,40.712306,187807,196403,18.466234093502525,127.27964293928184,15677.282040298496,39.793333333,ACCEPTED,20260815
NYC-012,True,303345,ROCKAWAY PKWY/SUBWAY STATION,301497,CRESCENT ST/FULTON ST,-73.901632,40.64575,-73.872107,40.68339,146634,151351,38.81176910930405,18.331607225979557,4867.274855108778,21.578500001000002,ACCEPTED,20260815
NYC-013,True,401954,E 97 ST/1 AV,303355,ROCKAWAY PKWY/SHORE PKWY SERVICE RD NORTH,-73.945522,40.784483,-73.886767,40.631247,189160,146912,107.91291197579788,41.31880290116342,17720.90099706419,68.22266666700003,ACCEPTED,20260815
NYC-014,True,804129,ROOSEVELT AV/SHEA RD,982186,EASTERN RD/BUILDING 77,-73.843427,40.755302,-73.766409,40.651265,199450,215069,36.282481516750686,71.54896999729246,13256.836978425481,30.491500002999995,ACCEPTED,20260815
NYC-015,True,904006,TEARDROP/LAYOVER,902058,MALL/BAY PLAZA,-73.802951,40.701361,-73.827673,40.865692,207901,137388,34.94149676831185,211.17661230549655,18362.74940911147,40.890000003,ACCEPTED,20260815
NYC-016,True,403560,W 86 ST/WEST END AV,982186,EASTERN RD/BUILDING 77,-73.977322,40.788649,-73.766409,40.651265,188424,215069,57.276651652781915,71.54896999729246,23451.923618914803,65.7255,ACCEPTED,20260815
NYC-017,True,804130,ROOSEVELT AV/MAIN ST,982087,108 ST/QUEENS BLVD,-73.83033,40.759495,-73.843862,40.721829,199610,203207,45.094479475095135,27.116972996594242,4334.89844194021,14.109166666,ACCEPTED,20260815
NYC-018,True,303663,MALCOLM X BLVD/DE KALB AV,804130,ROOSEVELT AV/MAIN ST,-73.931083,40.693124,-73.83033,40.759495,144390,199610,34.389262859054654,45.094479475095135,11256.144534882174,35.800000001,ACCEPTED,20260815
NYC-019,True,903004,W 96 ST/WEST END AV,401878,E 80 ST/EAST END AV,-73.973054,40.795153,-73.947738,40.771135,188387,189358,26.379735160270194,13.915510959394437,3416.615514948079,14.456666666000002,ACCEPTED,20260815
NYC-020,True,303355,ROCKAWAY PKWY/SHORE PKWY SERVICE RD NORTH,304428,MYRTLE AV/BROADWAY,-73.886767,40.631247,-73.935522,40.696944,146912,142426,41.31880290116342,21.96372021553829,8377.33403793214,37.12150000300002,ACCEPTED,20260815
NYC-021,True,553332,ROOSEVELT AV/61 ST,901127,METROPOLITAN AV/RENTAR PLAZA,-73.87293,40.772845,-73.889884,40.712306,198373,196403,187.38906468703522,127.27964293928184,6871.610002484922,22.731833331000004,ACCEPTED,20260815
NYC-022,True,804130,ROOSEVELT AV/MAIN ST,405003,E 92 ST/YORK AV,-73.83033,40.759495,-73.944494,40.779811,199610,189182,45.094479475095135,4.4271018164235585,9896.203286768006,28.584833329999995,ACCEPTED,20260815
NYC-023,True,403522,W 79 ST/RIVERSIDE DR,802025,BAY PLAZA BLVD/J C PENNY,-73.982294,40.784815,-73.856641,40.857516,186836,137626,44.569732139649574,30.20429778853124,13320.771495408335,36.47233333599999,ACCEPTED,20260815
NYC-024,True,404144,BROADWAY/W 207 ST,401732,E 126 ST/2 AV,-73.867768,40.857235,-73.932486,40.803182,137023,190723,31.06876470495221,44.93464062420777,8111.319538430784,18.250000001,ACCEPTED,20260815
NYC-025,True,903004,W 96 ST/WEST END AV,505227,39 AV/MAIN ST,-73.973054,40.795153,-73.743849,40.729032,188387,209830,26.379735160270194,20.66691584546049,20693.562836987396,58.08649999699999,ACCEPTED,20260815
